time,open,high,low,close,ATR
2023/06/26 13:30,362.07,362.75,361.79,362.72,
2023/06/26 13:35,362.75,363.18,362.57,363.02,
2023/06/26 13:40,363.04,363.37,362.79,363.2,
2023/06/26 13:45,363.22,363.72,363.22,363.35,
2023/06/26 13:50,363.36,364.34,363.19,364.19,
2023/06/26 13:55,364.2,364.555,364.12,364.48,
2023/06/26 14:00,364.49,364.76,364.21,364.37,
2023/06/26 14:05,364.38,364.82,364.35,364.539,
2023/06/26 14:10,364.53,364.59,364.04,364.52,
2023/06/26 14:15,364.55,364.84,364.26,364.26,
2023/06/26 14:20,364.26,364.34,363.91,364.11,
2023/06/26 14:25,364.13,364.38,363.81,364.195,
2023/06/26 14:30,364.17,364.25,362.96,363.36,
2023/06/26 14:35,363.32,363.4,362.65,362.67,0.6746428571428486
2023/06/26 14:40,362.66,362.66,361.91,362.52,0.6807397959183588
2023/06/26 14:45,362.5,363.31,362.46,363.3,0.6928298104956205
2023/06/26 14:50,363.295,363.625,363.08,363.321,0.6822705383173631
2023/06/26 14:55,363.27,363.39,362.795,363.15,0.6760369284375493
2023/06/26 15:00,363.15,363.185,362.21,362.21,0.6973914335491544
2023/06/26 15:05,362.21,362.21,361.59,361.9,0.6918634740099294
2023/06/26 15:10,361.88,362.07,361.53,361.76,0.6810160830092216
2023/06/26 15:15,361.76,361.99,360.93,360.96,0.7080863627942773
2023/06/26 15:20,360.91,361.26,360.78,360.99,0.6917944797375445
2023/06/26 15:25,360.94,361.57,360.94,361.15,0.6873805883277196
2023/06/26 15:30,361.12,361.8,360.89,361.63,0.7032819748757415
2023/06/26 15:35,361.63,361.88,361.44,361.525,0.6844761195274741
2023/06/26 15:40,361.52,361.65,360.675,360.83,0.7052278252755092
2023/06/26 15:45,360.84,361.41,360.8,361.28,0.698425837755831
2023/06/26 15:50,361.295,361.55,361.15,361.5,0.6771097064875597
2023/06/26 15:55,361.5,361.56,361.06,361.53,0.6644590131670197
2023/06/26 16:00,361.5,361.53,360.74,360.79,0.67342622651223
2023/06/26 16:05,360.82,360.82,359.49,359.54,0.7203243531899268
2023/06/26 16:10,359.52,359.61,359.13,359.55,0.7031583279620762
2023/06/26 16:15,359.52,359.91,359.33,359.4,0.6943613045362166
2023/06/26 16:20,359.41,359.78,359.06,359.56,0.6961926399264847
2023/06/26 16:25,359.53,359.58,359.09,359.15,0.6814645942174508
2023/06/26 16:30,359.15,359.28,358.88,359.08,0.6613599803447741
2023/06/26 16:35,359.08,359.355,358.72,358.91,0.6594771246058609
2023/06/26 16:40,358.9,359.0,358.27,358.44,0.6645144728483007
2023/06/26 16:45,358.44,358.86,358.25,358.45,0.6606205819305658
2023/06/26 16:50,358.43,358.75,358.38,358.74,0.6398619689355257
2023/06/26 16:55,358.76,359.15,358.61,359.13,0.6327289711544141
2023/06/26 17:00,359.135,359.24,358.88,358.95,0.6132483303576712
2023/06/26 17:05,358.94,359.17,358.83,358.97,0.5937305924749827
2023/06/26 17:10,358.98,359.13,358.46,358.75,0.5991784072981995
2023/06/26 17:15,358.71,359.15,358.68,358.88,0.5899513782054688
2023/06/26 17:20,358.89,359.199,358.7,358.91,0.5834548511907942
2023/06/26 17:25,358.91,359.42,358.52,359.34,0.6060652189628828
2023/06/26 17:30,359.35,359.47,359.1,359.19,0.5892034176083916
2023/06/26 17:35,359.18,359.3,358.85,359.16,0.5792603163506485
2023/06/26 17:40,359.15,359.41,358.86,358.94,0.5771702937541744
2023/06/26 17:45,358.91,359.24,358.82,359.08,0.5659438442003059
2023/06/26 17:50,359.07,359.07,358.75,358.92,0.5490907124717114
2023/06/26 17:55,358.92,359.055,358.67,358.8,0.5373699472951599
2023/06/26 18:00,358.79,359.04,358.6,358.94,0.5304149510597911
2023/06/26 18:05,358.92,358.98,358.69,358.95,0.5132424545555218
2023/06/26 18:10,358.92,359.28,358.82,359.05,0.5094394220872688
2023/06/26 18:15,359.06,359.15,358.85,359.02,0.4944794633667463
2023/06/26 18:20,359.0,359.13,358.64,358.67,0.4941595016976937
2023/06/26 18:25,358.64,359.08,358.63,359.029,0.491005251576429
2023/06/26 18:30,359.01,359.53,358.97,359.48,0.4959334478923945
2023/06/26 18:35,359.48,359.91,359.36,359.86,0.49979534447151
2023/06/26 18:40,359.89,359.94,359.59,359.77,0.4890956770092609
2023/06/26 18:45,359.78,359.84,359.54,359.74,0.4755888429371676
2023/06/26 18:50,359.75,359.87,359.535,359.68,0.4655467827273685
2023/06/26 18:55,359.7,359.76,359.35,359.51,0.461579155389697
2023/06/26 19:00,359.55,359.81,359.49,359.77,0.4514663585761468
2023/06/26 19:05,359.77,359.88,359.595,359.85,0.439575904392134
2023/06/26 19:10,359.85,359.93,359.63,359.79,0.4296061969355538
2023/06/26 19:15,359.8,359.87,359.47,359.61,0.4274914685830127
2023/06/26 19:20,359.57,359.75,359.14,359.27,0.4405277922556556
2023/06/26 19:25,359.29,359.385,359.18,359.285,0.4237043785231076
2023/06/26 19:30,359.28,359.49,359.09,359.41,0.4220112086286024
2023/06/26 19:35,359.405,359.56,359.29,359.35,0.4111532651551295
2023/06/26 19:40,359.36,359.41,358.8,358.8,0.4253566033583355
2023/06/26 19:45,358.8,358.8,358.05,358.445,0.4485454174041687
2023/06/26 19:50,358.44,358.575,358.16,358.33,0.4461493161610112
2023/06/26 19:55,358.34,358.37,357.59,357.72,0.4699957935780839
2023/06/27 13:30,359.27,359.7,358.76,359.69,0.5778532368939323
2023/06/27 13:35,359.69,360.51,359.59,359.64,0.6022922914015096
2023/06/27 13:40,359.65,360.07,359.21,359.71,0.6206999848728313
2023/06/27 13:45,359.7,360.02,359.26,359.82,0.6306499859533428
2023/06/27 13:50,359.76,360.47,359.71,360.23,0.6398892726709645
2023/06/27 13:55,360.22,360.32,359.79,360.3,0.6320400389087508
2023/06/27 14:00,360.19,361.05,359.85,360.25,0.672608607558125
2023/06/27 14:05,360.22,360.23,359.18,359.53,0.7009937070182585
2023/06/27 14:10,359.52,359.52,358.51,359.04,0.7237798708026674
2023/06/27 14:15,359.015,359.4,358.88,359.35,0.7092241657453328
2023/06/27 14:20,359.33,359.62,358.87,359.4,0.7121367253349519
2023/06/27 14:25,359.4,360.09,359.33,359.54,0.715555530668169
2023/06/27 14:30,359.57,359.81,359.1,359.41,0.7151587070490126
2023/06/27 14:35,359.47,359.81,359.28,359.72,0.7019330851169424
2023/06/27 14:40,359.71,359.82,359.2,359.29,0.6960807218943039
2023/06/27 14:45,359.25,359.6,358.95,359.53,0.6927892417589989
2023/06/27 14:50,359.58,359.91,359.46,359.67,0.6754471530619307
2023/06/27 14:55,359.68,359.69,359.3,359.69,0.6550580707003633
2023/06/27 15:00,359.66,359.82,358.99,359.06,0.6675539227931934
2023/06/27 15:05,359.07,359.14,358.83,358.98,0.642014356879394
2023/06/27 15:10,359.0,359.27,358.56,359.27,0.6468704742451502
2023/06/27 15:15,359.24,359.69,359.06,359.69,0.6456654403704963
2023/06/27 15:20,359.69,360.13,359.65,359.95,0.6338321946297479
2023/06/27 15:25,359.95,360.77,359.885,360.76,0.6517727521561938
2023/06/27 15:30,360.77,360.94,360.63,360.7,0.6273604127164658
2023/06/27 15:35,360.72,361.13,360.58,361.1,0.6218346689510048
2023/06/27 15:40,361.08,361.27,360.89,361.2,0.6045607640259327
2023/06/27 15:45,361.21,361.25,360.86,360.98,0.5892349951669366
2023/06/27 15:50,360.99,361.49,360.98,361.48,0.5835753526550118
2023/06/27 15:55,361.46,361.5,361.18,361.41,0.5647485417510819
2023/06/27 16:00,361.42,361.61,361.31,361.61,0.5458379316260055
2023/06/27 16:05,361.58,361.72,361.29,361.34,0.5375637936527199
2023/06/27 16:10,361.32,361.53,361.25,361.47,0.5191663798203808
2023/06/27 16:15,361.46,361.68,361.255,361.39,0.5124402098332116
2023/06/27 16:20,361.41,361.61,361.29,361.59,0.4986944805594103
2023/06/27 16:25,361.55,361.89,361.52,361.875,0.4895020176623099
2023/06/27 16:30,361.89,362.01,361.73,361.91,0.4745375878292858
2023/06/27 16:35,361.91,362.17,361.79,362.16,0.4677849029843365
2023/06/27 16:40,362.16,362.53,362.05,362.52,0.468657409914024
2023/06/27 16:45,362.52,362.82,362.52,362.63,0.4566104520630231
2023/06/27 16:50,362.66,362.78,362.61,362.62,0.4361382769156613
2023/06/27 16:55,362.63,362.69,362.37,362.48,0.4278426857073993
2023/06/27 17:00,362.46,362.525,362.27,362.33,0.4154967795854419
2023/06/27 17:05,362.35,362.41,362.04,362.3,0.4122470096150535
2023/06/27 17:10,362.28,362.5,362.23,362.35,0.4020865089282627
2023/06/27 17:15,362.33,362.86,362.2,362.83,0.4205089011476743
2023/06/27 17:20,362.84,363.18,362.82,363.14,0.4161868367799842
2023/06/27 17:25,363.15,363.17,362.86,362.96,0.4086020627242712
2023/06/27 17:30,362.97,363.43,362.97,363.27,0.4129876296725395
2023/06/27 17:35,363.28,363.38,363.18,363.34,0.3977742275530716
2023/06/27 17:40,363.35,363.57,363.35,363.45,0.385790354156425
2023/06/27 17:45,363.435,363.82,363.43,363.76,0.3860910431452508
2023/06/27 17:50,363.7,363.92,363.66,363.75,0.3770845400634465
2023/06/27 17:55,363.75,363.96,363.6,363.94,0.3758642157731972
2023/06/27 18:00,363.95,363.999,363.78,363.87,0.3646596289322582
2023/06/27 18:05,363.86,363.88,363.61,363.74,0.3578982268656671
2023/06/27 18:10,363.75,364.09,363.75,364.09,0.3573340678038312
2023/06/27 18:15,364.095,364.19,363.98,364.17,0.3468102058178419
2023/06/27 18:20,364.19,364.27,364.0,364.11,0.3413237625451376
2023/06/27 18:25,364.12,364.25,363.98,364.18,0.3362292080776265
2023/06/27 18:30,364.18,364.36,364.12,364.27,0.3293556932149395
2023/06/27 18:35,364.27,364.4,364.01,364.01,0.3336874294138715
2023/06/27 18:40,364.005,364.03,363.73,363.86,0.3312811844557345
2023/06/27 18:45,363.87,364.07,363.66,364.01,0.3369039569946083
2023/06/27 18:50,364.01,364.28,363.96,364.11,0.3356965314949929
2023/06/27 18:55,364.11,364.135,363.69,363.72,0.343503922102493
2023/06/27 19:00,363.73,364.09,363.73,363.92,0.3453964990951683
2023/06/27 19:05,363.91,364.19,363.9,364.13,0.3414396063026577
2023/06/27 19:10,364.13,364.36,363.955,364.34,0.3459796344238985
2023/06/27 19:15,364.34,364.41,364.01,364.11,0.3498382319650511
2023/06/27 19:20,364.12,364.27,363.98,364.26,0.3455640725389734
