time,open,high,low,close,Volume,EMA,ATR,ema,atr,upper_band,lower_band,capital_investment
2008/11/6 14:30,94.46,95.43,90.66,91.17,26306477,,,91.17,,,,1
2008/11/6 18:30,91.18,92.39,90.12,90.66,20018656,,,91.16492537,,,,1
2008/11/7 14:30,91.6,93.26,90.86,92.71,21986325,,,91.18029925,,,,1
2008/11/7 18:30,92.71,93.38,91.13,93.21,16696065,,,91.20049528,,,,1
2008/11/10 14:30,95.25,95.53,91.49,92.28,18624885,,,91.21123662,,,,1
2008/11/10 18:30,92.26,92.91,90.93,92.22,13533946,,,91.22127406,,,,1
2008/11/11 14:30,90.76,90.94,88.67,89.14,22462121,,,91.20056487,,,,1
2008/11/11 18:30,89.17,92.03,88.9,90.11,26095171,,,91.18971348,,,,1
2008/11/12 14:30,88.23,88.95,86.81,87.27,23245410,,,91.15071135,,,,1
2008/11/12 18:30,87.27,87.3,85.27,85.69,17399838,,,91.09637592,,,,1
2008/11/13 14:30,86.13,87.07,82.09,84.07,32756978,,,91.02646173,,,,1
2008/11/13 18:30,84.07,91.65,83.92,91.53,44137393,,,91.03147206,,,,1
2008/11/14 14:30,89.41,91.07,87.25,88.65,26518779,,,91.00777582,,,,1
2008/11/14 18:30,88.63,92.05,87.32,87.55,27217677,,,90.97337009,9.14,273.7733701,-91.82662991,1
2008/11/17 14:30,86.38,88.55,85.16,87.41,24332968,,,90.93791367,9.14,273.7379137,-91.86208633,1
2008/11/17 18:30,87.43,87.79,85.2,85.4,14138981,,,90.88281005,9.14,273.6828101,-91.91718995,1
2008/11/18 14:30,85.15,87,84.27,84.81,24288127,,,90.82238408,9.14,273.6223841,-91.97761592,1
2008/11/18 18:30,84.81,86.25,82.91,86.2,28023539,,,90.77639021,8.21,254.9763902,-73.42360979,1
2008/11/19 14:30,85.91,86.86,83.04,83.15,24810198,,,90.70050573,9.07,272.1005057,-90.69949427,1
2008/11/19 18:30,83.12,84.14,80.93,81.13,27516757,,,90.60527682,10.4,298.6052768,-117.3947232,1
2008/11/20 14:30,80.13,82.51,77.92,80.09,49203194,,,90.5006472,11.44,319.3006472,-138.2993528,1
2008/11/20 18:30,80.09,81,75.09,75.77,36341021,,,90.3540736,15.76,405.5540736,-224.8459264,1
2008/11/21 14:30,77.46,77.75,74.35,75.83,34508567,,,90.20955545,15.76,405.4095555,-224.9904445,1
2008/11/21 18:30,75.84,80.52,74.58,80.34,35106810,,,90.11135092,15.76,405.3113509,-225.0886491,1
2008/11/24 14:30,81.92,84.63,81.17,84.035,26794744,,,90.05088972,15.76,405.2508897,-225.1491103,1
2008/11/24 18:30,84.04,86.98,83.37,84.94,22276345,,,90.00003509,12.88,347.6000351,-167.5999649,1
2008/11/25 14:30,87.3,87.51,84.08,85.18,28703419,,,89.95207454,11.78,325.5520745,-145.6479255,1
2008/11/25 18:30,85.2,86.85,83.83,86.03,19301972,,,89.91304893,11.64,322.7130489,-142.8869511,1
2008/11/26 14:30,84.3,87.75,84.25,87.35,18521887,,,89.88754595,11.58,321.487546,-141.712454,1
2008/11/26 18:30,87.37,89.14,86.7,89.04,14824995,,,89.87911266,13.27,355.2791127,-175.5208873,1
2008/11/28 14:30,88.63,90.03,88.48,89.83,8165025,,,89.87862397,14.06,371.078624,-191.321376,1
2008/12/1 14:30,87.51,87.53,84.39,84.82,19114353,,,89.82828941,14.06,371.0282894,-191.3717106,1
2008/12/1 18:30,84.84,85.43,81.97,82.11,20484845,,,89.75149051,14.06,370.9514905,-191.4485095,1
2008/12/2 14:30,83.47,85.24,82.24,84.78,20509617,,,89.70202294,14.06,370.9020229,-191.4979771,1
2008/12/2 18:30,84.77,85.49,82.3,85.4,23194659,,,89.65921674,14.06,370.8592167,-191.5407833,1
2008/12/3 14:30,83.4,86.95,83.14,85.05,24116447,,,89.61335389,14,369.6133539,-190.3866461,1
2008/12/3 18:30,85.03,87.82,83.9,87.51,22711758,,,89.592425,9.49,279.392425,-100.207575,1
2008/12/4 14:30,86.06,88.05,85.93,86.09,21772072,,,89.557575,7.72,243.957575,-64.842425,1
2008/12/4 18:30,86.08,87.52,83.74,84.9,21204727,,,89.51123097,7.72,243.911231,-64.88876903,1
2008/12/5 14:30,83.63,84.66,82.25,83.93,21885506,,,89.45569633,7.72,243.8556963,-64.94430367,1
2008/12/5 18:30,83.93,88.41,83.91,88.05,27141890,,,89.4417093,7.72,243.8417093,-64.9582907,1
2008/12/8 14:30,90.34,91.63,90.03,90.47,27617384,,,89.45194105,8.36,256.651941,-77.74805895,0.55
2008/12/8 18:30,90.46,92.38,89.8,91.24,21561269,,,89.46973268,9.13,272.0697327,-93.13026732,0.55
2008/12/9 14:30,90.37,92.13,89.89,90.3,21438440,,,89.47799405,9.13,272.077994,-93.12200595,0.55
2008/12/9 18:30,90.29,90.67,88.99,89.39,19356796,,,89.47711848,9.13,272.0771185,-93.12288152,1
2008/12/10 14:30,90.33,91.36,89.75,90.45,18268139,,,89.4867989,9.13,272.0867989,-93.1132011,0.55
2008/12/10 18:30,90.47,90.7,89,90.35,17687304,,,89.49538796,7.31,235.695388,-56.70461204,0.55
2008/12/11 14:30,89.53,91,89.05,90.14,17583912,,,89.50180201,7.31,235.701802,-56.69819799,0.55
2008/12/11 18:30,90.15,90.34,87.37,87.95,19733415,,,89.4863612,7.31,235.6863612,-56.7136388,1
2008/12/12 14:30,85.51,88.58,85.21,87.73,24426645,,,89.46888497,7.31,235.668885,-56.73111503,1
2008/12/12 18:30,87.74,88.9,86.67,88.46,15522404,,,89.45884631,7.31,235.6588463,-56.74115369,1
2008/12/15 14:30,89.02,89.14,86.71,87.27,14558577,,,89.43706674,7.31,235.6370667,-56.76293326,1
2008/12/15 18:30,87.26,88,86.29,87.49,11600134,,,89.41769295,7.31,235.6176929,-56.78230705,1
2008/12/16 14:30,88.3,89.14,88.19,88.96,15090092,,,89.41313879,3.97,168.8131388,10.01313879,1
2008/12/16 18:30,88.95,92.01,88.73,91.85,26880280,,,89.43738616,4.58,181.0373862,-2.162613837,0.55
2008/12/17 14:30,90.84,91.99,90.07,91.68,17280966,,,89.45970073,4.58,181.0597007,-2.140299272,0.55
2008/12/17 18:30,91.67,92.43,90.83,91,12786169,,,89.47502709,4.58,181.0750271,-2.124972911,0.55
2008/12/18 14:30,91.4,91.66,90.51,90.93,15648463,,,89.48950443,4.58,181.0895044,-2.110495569,0.55
2008/12/18 18:30,90.92,91.02,88.22,89.14,17820760,,,89.48602678,4.58,181.0860268,-2.113973225,1
2008/12/19 14:30,89.1,90.38,88.4,89.19,17754291,,,89.48308124,4.58,181.0830812,-2.116918765,1
2008/12/19 18:30,89.22,89.48,88.09,88.39,12760128,,,89.47220481,4.58,181.0722048,-2.127795195,1
2008/12/22 14:30,88.58,88.66,86.91,87.4,10988461,,,89.45158585,4.58,181.0515859,-2.148414148,1
2008/12/22 18:30,87.4,87.4,85.5,86.93,12252534,,,89.42649545,4.92,187.8264954,-8.973504555,1
2008/12/23 14:30,87.53,87.92,86.17,86.52,13912761,,,89.39757509,5.33,195.9975751,-17.20242491,1
2008/12/23 18:30,86.53,86.95,85.8,86.17,8866267,,,89.36545992,5.68,202.9654599,-24.23454008,1
2008/12/24 14:30,86.46,86.87,86,86.65,7034539,,,89.33844042,5.68,202.9384404,-24.26155958,1
2008/12/26 14:30,87.24,87.3,86.51,86.65,4465845,,,89.31168977,5.68,202.9116898,-24.28831023,1
2008/12/26 18:30,86.67,87.27,86.64,87.13,4142568,,,89.28998141,5.68,202.8899814,-24.31001859,1
2008/12/29 14:30,87.24,87.31,85.61,85.63,8990559,,,89.25356368,6.05,210.2535637,-31.74643632,1
2008/12/29 18:30,85.62,86.92,85.61,86.9,7014925,,,89.23014514,5.37,196.6301451,-18.16985486,1
2008/12/30 14:30,87.51,88.47,87.09,88.02,13706285,,,89.21810389,5.3,195.2181039,-16.78189611,1
2008/12/30 18:30,88.01,89.04,87.72,88.88,8704517,,,89.21473968,3.56,160.4147397,18.01473968,1
2008/12/31 14:30,89.08,90.19,88.88,89.77,10782004,,,89.22026465,4.14,172.0202647,6.420264655,0.55
