time,open,high,low,close,Volume,EMA,ATR,ema,atr,upper_band,lower_band,capital_investment
2009/2/2 1:30,2054.714,2057.259,2029.776,2050.38,31244059,,,2050.38,,,,1
2009/2/2 5:30,2050.122,2059.338,2046.606,2057.063,19879706,,,2050.446498,,,,1
2009/2/3 1:30,2056.057,2098.471,2050.468,2098.187,53173601,,,2050.921527,,,,1
2009/2/3 5:30,2098.136,2108.91,2083.312,2108.91,34277324,,,2051.498527,,,,1
2009/2/4 1:30,2120.615,2150.433,2117.101,2146.694,62465139,,,2052.445746,,,,1
2009/2/4 5:30,2146.728,2166.414,2142.151,2166.414,38072990,,,2053.579758,,,,1
2009/2/5 1:30,2161.66,2211.085,2154.298,2190.78,71963081,,,2054.944935,,,,1
2009/2/5 5:30,2190.836,2191.458,2135.717,2150.971,42702804,,,2055.900418,,,,1
2009/2/6 1:30,2162.327,2214.655,2162.327,2208.115,58859159,,,2057.414991,,,,1
2009/2/6 5:30,2208.078,2240.021,2205.633,2237.28,47611254,,,2059.204693,,,,1
2009/2/9 1:30,2275.794,2307.032,2257.49,2301.626,82158288,,,2061.616845,,,,1
2009/2/9 5:30,2301.444,2307.845,2262.969,2296.672,46589027,,,2063.955702,,,,1
2009/2/10 1:30,2285.323,2320.508,2263.537,2274.746,73268280,,,2066.053118,,,,1
2009/2/10 5:30,2274.499,2327.074,2267.622,2326.755,42710540,,,2068.647167,276.375,7596.147167,-3458.852833,0.55
2009/2/11 1:30,2281.875,2358.51,2275.674,2355.65,85063724,,,2071.502916,298.587,8043.242916,-3900.237084,0.55
2009/2/11 5:30,2355.873,2381.108,2293.289,2331.138,61860347,,,2074.08635,257.463,7223.34635,-3075.17365,0.55
2009/2/12 1:30,2335.674,2344.546,2248.503,2269.301,76112860,,,2076.028784,246.74,7010.828784,-2858.771216,0.55
2009/2/12 5:30,2269.889,2321.212,2269.801,2318.343,43303196,,,2078.439871,208.956,6257.559871,-2100.680129,0.55
2009/2/13 1:30,2322.094,2370.109,2307.327,2362.127,83184236,,,2081.262628,211.156,6304.382628,-2141.857372,0.55
2009/2/13 5:30,2362.084,2402.387,2350.148,2399.065,56701440,,,2084.424841,248.094,7046.304841,-2877.455159,0.55
2009/2/16 1:30,2426.07,2449.852,2406.177,2415.609,96924967,,,2087.720206,264.638,7380.480206,-3205.039794,0.55
2009/2/16 5:30,2415.707,2462.245,2397.184,2462.245,54527663,,,2091.446821,254.13,7174.046821,-2991.153179,0.55
2009/2/17 1:30,2456.755,2470.277,2393.525,2449.16,89977814,,,2095.006156,224.965,6594.306156,-2404.293844,0.55
2009/2/17 5:30,2449.06,2468.731,2385.293,2385.293,50266125,,,2097.894582,192.944,5956.774582,-1760.985418,0.55
2009/2/18 1:30,2328.304,2368.991,2300.426,2308.022,68793172,,,2099.985402,192.944,5958.865402,-1758.894598,0.55
2009/2/18 5:30,2308.554,2331.851,2272.564,2275.843,45761648,,,2101.735229,192.944,5960.615229,-1757.144771,0.55
2009/2/19 1:30,2301.962,2324.59,2263.002,2273.224,59552110,,,2103.441585,192.944,5962.321585,-1755.438415,0.55
